,ciudad,cliente,cluster,recomendados
0,AGUACHICA,115566,103.0,CAMISA MANGA LARGA
1,AGUACHICA,115566,103.0,CHAQUETA
2,AGUACHICA,115566,103.0,DENIM
3,AGUACHICA,115566,103.0,CAMISA MANGA CORTA
4,AGUACHICA,115566,103.0,BERMUDA
0,AGUACHICA,117203,103.0,ZAPATOS PRECAMINADOR
1,AGUACHICA,117203,103.0,CAMISETA MANGA CORTA
2,AGUACHICA,117203,103.0,BERMUDA
3,AGUACHICA,117203,103.0,CONJUNTO CORTO
4,AGUACHICA,117203,103.0,TENIS
0,AGUACHICA,120517,103.0,CAMISA MANGA CORTA
1,AGUACHICA,120517,103.0,DENIM
2,AGUACHICA,120517,103.0,CONJUNTO LARGO
3,AGUACHICA,120517,103.0,BERMUDA
4,AGUACHICA,120517,103.0,BODY MANGA CORTA
0,AGUACHICA,135677,103.0,TENIS
1,AGUACHICA,135677,103.0,ZAPATOS COSIDOS
2,AGUACHICA,135677,103.0,OTROS
3,AGUACHICA,135677,103.0,CAMISA MANGA CORTA
4,AGUACHICA,135677,103.0,CAMISETA MANGA CORTA
0,AGUACHICA,149253,103.0,CONJUNTO LARGO
1,AGUACHICA,149253,103.0,CAMISETA MANGA CORTA
2,AGUACHICA,149253,103.0,CUIDADO PERSONAL
3,AGUACHICA,149253,103.0,CAMISETA MANGA LARGA
4,AGUACHICA,149253,103.0,ZAPATOS PRECAMINADOR
0,AGUACHICA,166854,103.0,CAMISETA POLO
1,AGUACHICA,166854,103.0,CAÑA LARGA
2,AGUACHICA,166854,103.0,ZAPATO
3,AGUACHICA,166854,103.0,CAMISETA MANGA CORTA
4,AGUACHICA,166854,103.0,DENIM
0,AGUACHICA,217124,103.0,CAMISETA MANGA CORTA
1,AGUACHICA,217124,103.0,ZAPATO
2,AGUACHICA,217124,103.0,CAMISETA POLO
3,AGUACHICA,217124,103.0,VESTIDO MANGA SISA
4,AGUACHICA,217124,103.0,CAMISA MANGA LARGA
0,AGUACHICA,233529,103.0,CUIDADO PERSONAL
1,AGUACHICA,233529,103.0,CORREA
2,AGUACHICA,233529,103.0,PANTALON
3,AGUACHICA,233529,103.0,TENIS
4,AGUACHICA,233529,103.0,OTROS
0,AGUACHICA,239022,103.0,BERMUDA
1,AGUACHICA,239022,103.0,CAMISA MANGA LARGA
2,AGUACHICA,239022,103.0,CAMISETA POLO
3,AGUACHICA,239022,103.0,ZAPATO
4,AGUACHICA,239022,103.0,BALETA
0,AGUACHICA,239976,103.0,CAMISA MANGA LARGA
1,AGUACHICA,239976,103.0,DENIM
2,AGUACHICA,239976,103.0,BERMUDA
3,AGUACHICA,239976,103.0,CAMISETA MANGA CORTA
4,AGUACHICA,239976,103.0,CAMISA MANGA CORTA
0,AGUACHICA,251287,103.0,BALETA
1,AGUACHICA,251287,103.0,CAMISA MANGA LARGA
2,AGUACHICA,251287,103.0,CAMISETA MANGA CORTA
3,AGUACHICA,251287,103.0,VESTIDO MANGA LARGA
4,AGUACHICA,251287,103.0,CAMISA MANGA CORTA
0,AGUACHICA,253511,103.0,DENIM
1,AGUACHICA,253511,103.0,PANTALON
2,AGUACHICA,253511,103.0,CORREA
3,AGUACHICA,253511,103.0,CAMISETA MANGA CORTA
4,AGUACHICA,253511,103.0,BERMUDA
0,AGUACHICA,266854,103.0,CAMISETA MANGA CORTA
1,AGUACHICA,266854,103.0,CAMISETA MANGA SISA
2,AGUACHICA,266854,103.0,TENIS
3,AGUACHICA,266854,103.0,ZAPATOS PRECAMINADOR
4,AGUACHICA,266854,103.0,CAMISA MANGA LARGA
0,AGUACHICA,279669,103.0,BALACA
1,AGUACHICA,279669,103.0,BOLSO
2,AGUACHICA,279669,103.0,BUZO
3,AGUACHICA,279669,103.0,CAMISETA MANGA SISA
4,AGUACHICA,279669,103.0,CARTUCHERA
0,AGUACHICA,282230,103.0,DENIM
1,AGUACHICA,282230,103.0,PIJAMA MC-PC
2,AGUACHICA,282230,103.0,SANDALIA
3,AGUACHICA,282230,103.0,ZAPATO
4,AGUACHICA,282230,103.0,CAMISA MANGA LARGA
0,AGUACHICA,295696,103.0,CAMISETA MANGA CORTA
1,AGUACHICA,295696,103.0,ZAPATOS PRECAMINADOR
2,AGUACHICA,295696,103.0,DENIM
3,AGUACHICA,295696,103.0,TENIS
4,AGUACHICA,295696,103.0,CONJUNTO CORTO
0,AGUACHICA,302055,103.0,SHORT
1,AGUACHICA,302055,103.0,DENIM
2,AGUACHICA,302055,103.0,PANTALON
3,AGUACHICA,302055,103.0,BERMUDA
