,ciudad,cliente,cluster,recomendados
0,TUNJA,100310,3401.0,CAMISA MANGA CORTA
1,TUNJA,100310,3401.0,DENIM
2,TUNJA,100310,3401.0,BOLSO
3,TUNJA,100310,3401.0,CAMISETA MANGA CORTA
4,TUNJA,100310,3401.0,CONJUNTO CORTO
0,TUNJA,102395,3401.0,DENIM
1,TUNJA,102395,3401.0,BUZO
2,TUNJA,102395,3401.0,CHAQUETA
3,TUNJA,102395,3401.0,CAMISETA MANGA LARGA
4,TUNJA,102395,3401.0,CAMISA MANGA CORTA
0,TUNJA,114913,3401.0,BODY MANGA CORTA
1,TUNJA,114913,3401.0,CAMISETA MANGA CORTA
2,TUNJA,114913,3401.0,CHAQUETA
3,TUNJA,114913,3401.0,TENIS
4,TUNJA,114913,3401.0,BOXER
0,TUNJA,128200,3401.0,PANTALON
1,TUNJA,128200,3401.0,BERMUDA
2,TUNJA,128200,3401.0,DENIM
3,TUNJA,128200,3401.0,TENIS
4,TUNJA,128200,3401.0,SUDADERA
36,TUNJA,135404,3401.0,CAMISETA MANGA CORTA
61,TUNJA,135404,3401.0,DENIM
138,TUNJA,135404,3401.0,TENIS
98,TUNJA,135404,3401.0,PANTALON
31,TUNJA,135404,3401.0,CAMISA MANGA LARGA
0,TUNJA,138070,3401.0,CUIDADO PERSONAL
1,TUNJA,138070,3401.0,CAMISETA MANGA CORTA
2,TUNJA,138070,3401.0,BUZO
3,TUNJA,138070,3401.0,CHAQUETA
4,TUNJA,138070,3401.0,BERMUDA
0,TUNJA,155342,3401.0,DENIM
1,TUNJA,155342,3401.0,LEGGINGS
2,TUNJA,155342,3401.0,CAMISETA MANGA CORTA
3,TUNJA,155342,3401.0,CAMISETA MANGA LARGA
0,TUNJA,157197,3401.0,CAMISETA MANGA CORTA
1,TUNJA,157197,3401.0,CHAQUETA
2,TUNJA,157197,3401.0,TENIS
3,TUNJA,157197,3401.0,CAMISA MANGA LARGA
4,TUNJA,157197,3401.0,CAMISETA MANGA LARGA
36,TUNJA,158453,3401.0,CAMISETA MANGA CORTA
61,TUNJA,158453,3401.0,DENIM
138,TUNJA,158453,3401.0,TENIS
98,TUNJA,158453,3401.0,PANTALON
31,TUNJA,158453,3401.0,CAMISA MANGA LARGA
0,TUNJA,165222,3401.0,CHAQUETA
1,TUNJA,165222,3401.0,SUDADERA
2,TUNJA,165222,3401.0,CAMISA MANGA CORTA
3,TUNJA,165222,3401.0,BUZO
4,TUNJA,165222,3401.0,CAMISA MANGA LARGA
0,TUNJA,168912,3401.0,CAMISETA MANGA CORTA
1,TUNJA,168912,3401.0,CAMISA MANGA LARGA
0,TUNJA,176752,3401.0,DENIM
1,TUNJA,176752,3401.0,CAMISA MANGA CORTA
2,TUNJA,176752,3401.0,MINIFALDA
3,TUNJA,176752,3401.0,TENIS
4,TUNJA,176752,3401.0,SUDADERA
0,TUNJA,195638,3401.0,BUZO
1,TUNJA,195638,3401.0,CUIDADO PERSONAL
2,TUNJA,195638,3401.0,CAMISETA MANGA LARGA
3,TUNJA,195638,3401.0,CAMISETA POLO
4,TUNJA,195638,3401.0,PANTALON
0,TUNJA,195939,3401.0,CAMISETA MANGA CORTA
1,TUNJA,195939,3401.0,ZAPATOS PRECAMINADOR
2,TUNJA,195939,3401.0,ZAPATOS COSIDOS
3,TUNJA,195939,3401.0,CAMISA MANGA LARGA
4,TUNJA,195939,3401.0,CAÑA CORTA
0,TUNJA,196120,3401.0,CAMISETA MANGA CORTA
1,TUNJA,196120,3401.0,CHAQUETA
2,TUNJA,196120,3401.0,CONJUNTO LARGO
3,TUNJA,196120,3401.0,CUIDADO PERSONAL
4,TUNJA,196120,3401.0,CAMISETA MANGA LARGA
36,TUNJA,197332,3401.0,CAMISETA MANGA CORTA
61,TUNJA,197332,3401.0,DENIM
138,TUNJA,197332,3401.0,TENIS
98,TUNJA,197332,3401.0,PANTALON
31,TUNJA,197332,3401.0,CAMISA MANGA LARGA
0,TUNJA,201042,3401.0,OTROS
1,TUNJA,201042,3401.0,BODY MANGA SISA
2,TUNJA,201042,3401.0,DENIM
3,TUNJA,201042,3401.0,CUIDADO PERSONAL
4,TUNJA,201042,3401.0,CAMISA MANGA LARGA
0,TUNJA,201326,3401.0,CHAQUETA
0,TUNJA,203313,3401.0,CAMISETA MANGA CORTA
1,TUNJA,203313,3401.0,CAÑA LARGA
2,TUNJA,203313,3401.0,SUDADERA
3,TUNJA,203313,3401.0,TENIS
0,TUNJA,204770,3401.0,TENIS
1,TUNJA,204770,3401.0,DENIM
2,TUNJA,204770,3401.0,CAMISETA MANGA LARGA
3,TUNJA,204770,3401.0,BOTAS
4,TUNJA,204770,3401.0,PANTALON
0,TUNJA,205844,3401.0,CAMISA MANGA CORTA
1,TUNJA,205844,3401.0,SUDADERA
2,TUNJA,205844,3401.0,CAMISETA MANGA LARGA
3,TUNJA,205844,3401.0,CAMISETA MANGA CORTA
4,TUNJA,205844,3401.0,CUIDADO PERSONAL
0,TUNJA,207318,3401.0,CAMISA MANGA LARGA
1,TUNJA,207318,3401.0,CAMISETA MANGA CORTA
2,TUNJA,207318,3401.0,CAMISETA POLO
3,TUNJA,207318,3401.0,DENIM
4,TUNJA,207318,3401.0,BUZO
0,TUNJA,208548,3401.0,CUIDADO PERSONAL
